Customer_ID,Product_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Region,,,,,,
CUST_9HOS83,PROD_IK97D1,17,172.57,Electronics,South America,,,,,,
CUST_AJU17N,PROD_UNN7KP,10,64.89,Clothing,South America,FUNGSI ARITMATEIKA,,,,,
CUST_11XNYF,PROD_0XEW2W,3,120.38,Sports,Asia,SUM,99557,,,,
CUST_IGH8G3,PROD_3IIAJN,12,70.34,Clothing,North America,AVERAGE,9.9557,,,,
CUST_OK6PUM,PROD_VMIWD2,18,42.39,Electronics,North America,MAX,19,,,,
CUST_63F5GB,PROD_L0NAD5,12,132.9,Electronics,Europe,MIN,1,,,,
CUST_P9K9F2,PROD_CVVCB0,16,128.43,Clothing,Europe,COUNT,10000,,,,
CUST_EMHZQV,PROD_PVOV5L,10,67.52,Electronics,Asia,COUNTA,10000,,,,
CUST_8E2Q1K,PROD_MG36BV,7,165.26,Electronics,Europe,COUNTIF,2510,1 KONDISI,,,
CUST_4VB1T5,PROD_DKK6UZ,6,52.86,Home,North America,COUNTIFS,641,2 KONDISI,,,
CUST_67Z31H,PROD_ALVKE7,8,138.72,Electronics,Europe,, ,,,,
CUST_FX276G,PROD_K192VJ,13,54.53,Electronics,Asia,,,,,,
CUST_H605W3,PROD_2Y2RID,5,172.68,Electronics,Europe,,,,,,
CUST_7KEA4I,PROD_M35YA3,18,30.56,Clothing,North America,FUNGSI LOGIKA ,,,,,
CUST_7I11M9,PROD_ELE4RZ,18,95.85,Electronics,Asia,IF,TTIDAK LAKU,BENAR,,,
CUST_WQB3QG,PROD_IBLABI,10,108.6,Home,Europe,AND ,FALSE,,,,
CUST_EF8557,PROD_P2DMGE,10,139.31,Sports,Asia,OR,,,,,
CUST_792ZPI,PROD_JLOC27,3,141.64,Home,North America,,,,,,
CUST_CNYAZK,PROD_2EQ5LO,18,39.17,Clothing,North America,,,,,,
CUST_45L1B8,PROD_XFBU9X,18,139.37,Sports,South America,,,,,,
CUST_99ZA53,PROD_2E3MNX,17,105.73,Sports,North America,,,,,,
CUST_NWGN1Z,PROD_R1Y19O,14,93.03,Sports,North America,,,,,,
CUST_EA95KF,PROD_R6QGPV,16,166.36,Home,Asia,,,,,,
CUST_5RUZ9U,PROD_KCO2XQ,11,106.34,Home,North America,,,,,,
CUST_T95LCL,PROD_V9G363,19,58.13,Home,Europe,,,,,,
CUST_MD1TF0,PROD_VWJAW6,9,100.65,Electronics,North America,,,,,,
CUST_2H3FIT,PROD_LLJO26,11,138.91,Electronics,South America,,,,,,
CUST_ASIAQN,PROD_A0GGZN,4,179.37,Home,Europe,,,,,,
CUST_5VD1AF,PROD_9FP1KM,18,47.25,Clothing,Europe,,,,,,
CUST_5C973R,PROD_DNB9HU,7,165.36,Home,Asia,,,,,,
